body_part,sub_category,symptom_description,twi_translation
Ankle & Foot,Nerve & Sensation,"My toes feel completely dead and numb; I cannot feel the ground properly.","Me nan nsa ayɛ dinn koraa na ayɛ dinn; minte ɛfam yiye."
Ankle & Foot,Nerve & Sensation,"It feels exactly like walking on hot coals or broken glass with every step.","Ɛte sɛ nea menam gyabire so anaa ahwehwɛ a abubu so wɔ anammɔn biara mu."
Skin,Rashes & Irritation,"My skin is covered in an intensely itchy rash; the itching is driving me mad.","Me honam ayɛ ma nsesaawa a ɛreyɛ me titiri kɛse; titiri no reyɛ me dam."
Skin,Rashes & Irritation,"There are raised, red, hot welts spreading rapidly across my skin.","Mpuruw a akɔ soro, a ɛyɛ kɔkɔɔ, a ɛyɛ hyew retrɛ ntɛm wɔ me honam so."
Skin,Rashes & Irritation,"My skin feels like it is burning with intense heat from the inside out.","Me honam te sɛ nea ɛrehye denneennen firi mu."
Skin,Rashes & Irritation,"I have developed dry, cracked patches of skin that bleed when I move the joint.","Mewɔ honam a awu, a apae wɔ baabi a sɛ mekeka hyɛn mu a ɛma mogya tu."
Skin,Rashes & Irritation,"Small, fluid-filled blisters have appeared clustered in a line on one side.","Nsuo nketewa bi a nsuo ahyɛ mu ma abɔ wɔ ɔfa baako wɔ nkyekyɛmu."
Skin,Lesions & Wounds,"There is a sore on my skin that refuses to heal and keeps growing larger.","Mewɔ akuru bi wɔ me honam so a ɛmpɛ sɛ ɛsa na ɛkɔ so kɛse."
Skin,Lesions & Wounds,"I have an open ulcer that is constantly oozing fluid, crusting, and won't close.","Mewɔ akuru a abue a nsuo retu daa, ɛyɛ den, na ɛrento mu."
Skin,Lesions & Wounds,"A dark spot or mole on my skin has altered its shape and started bleeding.","Baabi a ɛyɛ den anaa mole bi wɔ me honam so asesa ne su na afi ase reyi mogya."
Skin,Texture & Sensation,"My skin feels tight, swollen, and stretched out until it is shiny.","Me honam yɛ den, ahono, na atrɛ kosi sɛ ɛhyerɛn."
Skin,Texture & Sensation,"I have patches of skin that have become completely numb, thick, and leathery.","Mewɔ honam mpaapaawa a ayɛ dinn koraa, ayɛ duru, na ayɛ sɛ nhoma."
Skin,Texture & Sensation,"I feel a crawling sensation on my skin even though nothing is visible on it.","Mete sɛ nea biribi rekeka wɔ me honam so sɛ biribiara nni so mpo a."
General & Systemic,Fatigue & Energy,"I feel completely weak, exhausted, and drained of all strength.","Mete sɛ nea m'ani so abrɛ koraa, abrɛ, na ahoɔden nyinaa asa."
General & Systemic,Fatigue & Energy,"My entire body feels heavily weighed down, as if my limbs are made of stone.","Me nipadua nyinaa mu yɛ duru, sɛ nea me nan ne me nsa yɛ ɔbo."
General & Systemic,Fatigue & Energy,"I have zero strength; even getting out of bed feels like a massive labor.","Minni ahoɔden biara; sɛ mifi mpa so mpo a, ɛyɛ sɛ adwuma kɛse."
General & Systemic,Fatigue & Energy,"My muscles feel completely powerless, tired, and shaking like jelly.","Me ntini mu nni ahoɔden koraa, abrɛ, na ɛrewoso sɛ jelly."
General & Systemic,Fever & Temperature,"My body is burning up with a severe fever, and all my joints are aching.","Me nipadua rehye denneennen wɔ atiridii mu, na me hyɛn nyinaa yɛ me yaw."
General & Systemic,Fever & Temperature,"I am shivering and shaking with internal chills though my skin feels boiling hot.","Merewoso na merewoso wɔ awɔw mu sɛ me honam yɛ hyew mpo a."
General & Systemic,Fever & Temperature,"I am constantly sweating heavily through my clothes even when the room is cold.","Merehohoro fifiri denneennen fa me ntama mu sɛ dan no mu yɛ nwunu mpo a."
General & Systemic,Fever & Temperature,"I feel highly feverish and sick, and my entire skin surface is painful to touch.","Mete sɛ nea mewɔ atiridii kɛse na meyare, na sɛ wɔde me honam ka a, ɛyɛ yaw."
Teeth,Pain & Sensitivity,"My tooth is throbbing with a severe, heavy pain that is traveling into my head.","Me se rehunu denneennen a ɛyɛ duru na ɛrekɔ me tiri mu."
Teeth,Pain & Sensitivity,"Whenever I drink cold water or eat, a sharp pain pierces straight into my tooth.","Sɛ menom nsuo nwunu anaa mididi a, ɔyaw a ano yɛ dɛn no hyɛ me se mu tẽẽ."
Teeth,Pain & Sensitivity,"My tooth is biting me severely, and I cannot chew any food on that side.","Me se reka me denneennen, na mintumi nwe aduane biara wɔ ɔfa no."
Teeth,Pain & Sensitivity,"There is a continuous burning ache deep inside my gums and tooth roots.","Mewɔ ɔyaw a emu yɛ duru a ɛrehye wɔ m'ase ne me se ntini mu pɛɛ."
Teeth,Swelling & Infection,"My gums are heavily swollen around the tooth, and it has formed a painful bump.","M'ase ahono kɛse wɔ se no ho, na akuru a ɛyɛ yaw bi abɔ."
Teeth,Swelling & Infection,"The toothache is so severe that it has caused one side of my face to swell up.","Se yaw no ano yɛ den araa ma ɛma m'anim fa baako ahono."
Teeth,Swelling & Infection,"There is a foul-smelling pus draining from my gums near a broken tooth.","Nsuo a ɛyɛ bɔne retu firi m'ase mu wɔ se a abu no ho."
Teeth,Damage & Mobility,"My tooth is loose and shaking badly; it causes pain whenever it moves.","Me se abɔ na ɛrewoso denneennen; sɛ ɛtu a, ɛyɛ yaw."
Teeth,Damage & Mobility,"My tooth has broken or cracked, and the sharp edge is cutting my tongue.","Me se abu anaa apae, na ano a ɛyɛ dɛn no retwa me tɛkyerɛma."
